Table Name, Field Name, Is Primary Key, Is Foreign Key, Type
author, aid, y, n, int(11)
author, homepage, n, n, varchar(255)
author, name, n, n, varchar(255)
author, oid, n, n, int(11)
-, -, -, -, -
cite, cited, n, n, int(11)
cite, citing, n, n, int(11)
-, -, -, -, -
conference, cid, y, n, int(11)
conference, homepage, n, n, varchar(255)
conference, name, n, n, varchar(255)
-, -, -, -, -
domain, did, y, n, int(11)
domain, name, n, n, varchar(255)
-, -, -, -, -
domain_author, aid, n, n, int(11)
domain_author, did, n, n, int(11)
-, -, -, -, -
domain_conference, cid, n, n, int(11)
domain_conference, did, n, n, int(11)
-, -, -, -, -
domain_journal, did, n, n, int(11)
domain_journal, jid, n, n, int(11)
-, -, -, -, -
domain_keyword, did, n, n, int(11)
domain_keyword, kid, n, n, int(11)
-, -, -, -, -
domain_publication, did, n, n, int(11)
domain_publication, pid, n, n, int(11)
-, -, -, -, -
journal, homepage, n, n, varchar(255)
journal, jid, y, n, int(11)
journal, name, n, n, varchar(255)
-, -, -, -, -
keyword, keyword, n, n, varchar(255)
keyword, kid, y, n, int(11)
-, -, -, -, -
organization, continent, n, n, varchar(255)
organization, homepage, n, n, varchar(255)
organization, name, n, n, varchar(255)
organization, oid, y, n, int(11)
-, -, -, -, -
publication, abstract, n, n, varchar(255)
publication, cid, n, n, int(11)
publication, citation_num, n, n, int(11)
publication, jid, n, n, int(11)
publication, pid, y, n, int(11)
publication, reference_num, n, n, int(11)
publication, title, n, n, varchar(255)
publication, year, n, n, int(11)
-, -, -, -, -
publication_keyword, kid, n, n, int(11)
publication_keyword, pid, n, n, int(11)
-, -, -, -, -
writes, aid, n, n, int(11)
writes, pid, n, n, int(11)
