Table Name, Field Name, Is Primary Key, Is Foreign Key, Type
AIRCRAFT, AIRCRAFT_CODE, n, y, varchar(3)
AIRCRAFT, AIRCRAFT_DESCRIPTION, n, n, varchar(50)
AIRCRAFT, MANUFACTURER, n, n, varchar(30)
AIRCRAFT, BASIC_TYPE, n, n, varchar(30)
AIRCRAFT, ENGINES, n, n, int(11)
AIRCRAFT, PROPULSION, n, n, varchar(10)
AIRCRAFT, WIDE_BODY, n, n, varchar(3)
AIRCRAFT, WING_SPAN, n, n, int(11)
AIRCRAFT, LENGTH, n, n, int(11)
AIRCRAFT, WEIGHT, n, n, int(11)
AIRCRAFT, CAPACITY, n, n, int(11)
AIRCRAFT, PAY_LOAD, n, n, int(11)
AIRCRAFT, CRUISING_SPEED, n, n, int(11)
AIRCRAFT, RANGE_MILES, n, n, int(11)
AIRCRAFT, PRESSURIZED, n, n, varchar(3)
-, -, -, -, -
AIRLINE, AIRLINE_CODE, n, y, varchar(2)
AIRLINE, AIRLINE_NAME, n, n, text
AIRLINE, NOTE, n, n, text
-, -, -, -, -
AIRPORT, AIRPORT_CODE, n, y, varchar(3)
AIRPORT, AIRPORT_NAME, n, n, text
AIRPORT, AIRPORT_LOCATION, n, n, text
AIRPORT, STATE_CODE, n, n, varchar(2)
AIRPORT, COUNTRY_NAME, n, n, varchar(6)
AIRPORT, TIME_ZONE_CODE, n, n, varchar(3)
AIRPORT, MINIMUM_CONNECT_TIME, n, n, int(11)
-, -, -, -, -
AIRPORT_SERVICE, CITY_CODE, n, y, varchar(4)
AIRPORT_SERVICE, AIRPORT_CODE, n, y, varchar(3)
AIRPORT_SERVICE, MILES_DISTANT, n, n, int(11)
AIRPORT_SERVICE, DIRECTION, n, n, varchar(2)
AIRPORT_SERVICE, MINUTES_DISTANT, n, n, int(11)
-, -, -, -, -
CITY, CITY_CODE, n, y, varchar(4)
CITY, CITY_NAME, n, n, varchar(18)
CITY, STATE_CODE, n, y, varchar(2)
CITY, COUNTRY_NAME, n, n, varchar(6)
CITY, TIME_ZONE_CODE, n, n, varchar(3)
-, -, -, -, -
CLASS_OF_SERVICE, BOOKING_CLASS, y, y, varchar(2)
CLASS_OF_SERVICE, RANK, n, n, int(11)
CLASS_OF_SERVICE, CLASS_DESCRIPTION, n, n, text
-, -, -, -, -
CODE_DESCRIPTION, CODE, y, n, varchar(4)
CODE_DESCRIPTION, DESCRIPTION, n, n, text
-, -, -, -, -
COMPARTMENT_CLASS, COMPARTMENT, n, n, varchar(5)
COMPARTMENT_CLASS, CLASS_TYPE, n, n, varchar(8)
-, -, -, -, -
DATE_DAY, MONTH_NUMBER, n, n, int(11)
DATE_DAY, DAY_NUMBER, n, n, int(11)
DATE_DAY, YEAR, n, n, int(11)
DATE_DAY, DAY_NAME, n, y, varchar(10)
-, -, -, -, -
DAYS, DAYS_CODE, n, y, varchar(20)
DAYS, DAY_NAME, n, y, varchar(10)
-, -, -, -, -
DUAL_CARRIER, MAIN_AIRLINE, n, n, varchar(2)
DUAL_CARRIER, LOW_FLIGHT_NUMBER, n, n, int(11)
DUAL_CARRIER, HIGH_FLIGHT_NUMBER, n, n, int(11)
DUAL_CARRIER, DUAL_AIRLINE, n, n, varchar(2)
DUAL_CARRIER, SERVICE_NAME, n, n, text
-, -, -, -, -
EQUIPMENT_SEQUENCE, AIRCRAFT_CODE_SEQUENCE, n, y, varchar(12)
EQUIPMENT_SEQUENCE, AIRCRAFT_CODE, n, y, varchar(3)
-, -, -, -, -
FARE, FARE_ID, y, y, int(11)
FARE, FROM_AIRPORT, n, y, varchar(3)
FARE, TO_AIRPORT, n, y, varchar(3)
FARE, FARE_BASIS_CODE, n, y, text
FARE, FARE_AIRLINE, n, n, text
FARE, RESTRICTION_CODE, n, y, text
FARE, ONE_DIRECTION_COST, n, n, int(11)
FARE, ROUND_TRIP_COST, n, n, int(11)
FARE, ROUND_TRIP_REQUIRED, n, n, varchar(3)
-, -, -, -, -
FARE_BASIS, FARE_BASIS_CODE, n, y, text
FARE_BASIS, BOOKING_CLASS, n, y, text
FARE_BASIS, CLASS_TYPE, n, n, text
FARE_BASIS, PREMIUM, n, n, text
FARE_BASIS, ECONOMY, n, n, text
FARE_BASIS, DISCOUNTED, n, n, text
FARE_BASIS, NIGHT, n, n, text
FARE_BASIS, SEASON, n, n, text
FARE_BASIS, BASIS_DAYS, n, y, text
-, -, -, -, -
FLIGHT, AIRCRAFT_CODE_SEQUENCE, n, y, text
FLIGHT, AIRLINE_CODE, n, y, varchar(3)
FLIGHT, AIRLINE_FLIGHT, n, n, text
FLIGHT, ARRIVAL_TIME, n, n, int(11)
FLIGHT, CONNECTIONS, n, n, int(11)
FLIGHT, DEPARTURE_TIME, n, n, int(11)
FLIGHT, DUAL_CARRIER, n, n, text
FLIGHT, FLIGHT_DAYS, n, y, text
FLIGHT, FLIGHT_ID, y, y, int(11)
FLIGHT, FLIGHT_NUMBER, n, n, int(11)
FLIGHT, FROM_AIRPORT, n, y, varchar(3)
FLIGHT, MEAL_CODE, n, y, text
FLIGHT, STOPS, n, n, int(11)
FLIGHT, TIME_ELAPSED, n, n, int(11)
FLIGHT, TO_AIRPORT, n, y, varchar(3)
-, -, -, -, -
FLIGHT_FARE, FLIGHT_ID, n, y, int(11)
FLIGHT_FARE, FARE_ID, n, y, int(11)
-, -, -, -, -
FLIGHT_LEG, FLIGHT_ID, n, y, int(11)
FLIGHT_LEG, LEG_NUMBER, n, n, int(11)
FLIGHT_LEG, LEG_FLIGHT, n, y, int(11)
-, -, -, -, -
FLIGHT_STOP, FLIGHT_ID, n, y, int(11)
FLIGHT_STOP, STOP_NUMBER, n, n, int(11)
FLIGHT_STOP, STOP_DAYS, n, n, text
FLIGHT_STOP, STOP_AIRPORT, n, y, text
FLIGHT_STOP, ARRIVAL_TIME, n, n, int(11)
FLIGHT_STOP, ARRIVAL_AIRLINE, n, n, text
FLIGHT_STOP, ARRIVAL_FLIGHT_NUMBER, n, n, int(11)
FLIGHT_STOP, DEPARTURE_TIME, n, n, int(11)
FLIGHT_STOP, DEPARTURE_AIRLINE, n, n, text
FLIGHT_STOP, DEPARTURE_FLIGHT_NUMBER, n, n, int(11)
FLIGHT_STOP, STOP_TIME, n, n, int(11)
-, -, -, -, -
FOOD_SERVICE, MEAL_CODE, n, y, text
FOOD_SERVICE, MEAL_NUMBER, n, n, int(11)
FOOD_SERVICE, COMPARTMENT, n, n, text
FOOD_SERVICE, MEAL_DESCRIPTION, n, n, varchar(10)
-, -, -, -, -
GROUND_SERVICE, CITY_CODE, n, y, text
GROUND_SERVICE, AIRPORT_CODE, n, y, text
GROUND_SERVICE, TRANSPORT_TYPE, n, n, text
GROUND_SERVICE, GROUND_FARE, n, n, int(11)
-, -, -, -, -
MONTH, MONTH_NUMBER, n, n, int(11)
MONTH, MONTH_NAME, n, n, text
-, -, -, -, -
RESTRICTION, RESTRICTION_CODE, n, y, text
RESTRICTION, ADVANCE_PURCHASE, n, n, int(11)
RESTRICTION, STOPOVERS, n, n, text
RESTRICTION, SATURDAY_STAY_REQUIRED, n, n, text
RESTRICTION, MINIMUM_STAY, n, n, int(11)
RESTRICTION, MAXIMUM_STAY, n, n, int(11)
RESTRICTION, APPLICATION, n, n, text
RESTRICTION, NO_DISCOUNTS, n, n, text
-, -, -, -, -
STATE, STATE_CODE, n, y, text
STATE, STATE_NAME, n, n, text
STATE, COUNTRY_NAME, n, n, text
-, -, -, -, -
TIME_INTERVAL, PERIOD, n, n, text
TIME_INTERVAL, BEGIN_TIME, n, n, int(11)
TIME_INTERVAL, END_TIME, n, n, int(11)
-, -, -, -, -
TIME_ZONE, TIME_ZONE_CODE, n, n, text
TIME_ZONE, TIME_ZONE_NAME, n, n, text
TIME_ZONE, HOURS_FROM_GMT, n, n, int(11)
