Table Name, Field Name, Is Primary Key, Is Foreign Key, Type
actor, aid, y, n, int(11)
actor, gender, n, n, text
actor, name, n, n, text
actor, nationality, n, n, text
actor, birth_city, n, n, text
actor, birth_year, n, n, int(11)
-, -, -, -, -
cast, id, y, n, int(11)
cast, msid, n, n, int(11)
cast, aid, n, n, int(11)
cast, role, n, n, text
-, -, -, -, -
classification, id, y, n, int(11)
classification, msid, n, n, int(11)
classification, gid, n, n, int(11)
-, -, -, -, -
company, id, y, n, int(11)
company, name, n, y, text
company, country_code, n, n, varchar(255)
-, -, -, -, -
copyright, id, y, n, int(11)
copyright, msid, n, n, int(11)
copyright, cid, n, n, int(11)
-, -, -, -, -
directed_by, id, y, n, int(11)
directed_by, msid, n, n, int(11)
directed_by, did, n, n, int(11)
-, -, -, -, -
director, did, y, n, int(11)
director, gender, n, n, text
director, name, n, n, text
director, nationality, n, n, text
director, birth_city, n, n, text
director, birth_year, n, n, int(11)
-, -, -, -, -
genre, gid, y, n, int(11)
genre, genre, n, n, text
-, -, -, -, -
keyword, id, y, n, int(11)
keyword, keyword, n, n, text
-, -, -, -, -
made_by, id, y, n, int(11)
made_by, msid, n, n, int(11)
made_by, pid, n, n, int(11)
-, -, -, -, -
movie, mid, y, n, int(11)
movie, title, n, n, text
movie, release_year, n, n, int(11)
movie, title_aka, n, n, text
movie, budget, n, n, text
-, -, -, -, -
producer, pid, y, n, int(11)
producer, gender, n, n, text
producer, name, n, n, text
producer, nationality, n, n, text
producer, birth_city, n, n, text
producer, birth_year, n, n, int(11)
-, -, -, -, -
tags, id, y, n, int(11)
tags, msid, n, y, int(11)
tags, kid, n, y, int(11)
-, -, -, -, -
tv_series, sid, y, n, int(11)
tv_series, title, n, n, text
tv_series, release_year, n, n, int(11)
tv_series, num_of_seasons, n, n, int(11)
tv_series, num_of_episodes, n, n, int(11)
tv_series, title_aka, n, n, text
tv_series, budget, n, n, text
-, -, -, -, -
writer, wid, y, n, int(11)
writer, gender, n, n, text
writer, name, n, n, text
writer, nationality, n, n, text
writer, birth_city, n, n, text
writer, birth_year, n, n, int(11)
-, -, -, -, -
written_by, id, y, n, int(11)
written_by, msid, n, n, int(11)
written_by, wid, n, n, int(11)
