return me the homepage of PVLDB . ||| select journal_0.homepage from journal as journal_0 where journal_0.name = " PVLDB " 
return me the homepage of " H. V. Jagadish " . ||| select author_0.homepage from author as author_0 where author_0.name = " H. V. Jagadish " 
return me the abstract of " Making database systems usable " . ||| select publication_0.abstract from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the year of " Making database systems usable " ||| select publication_0.year from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the papers after 2000 . ||| select publication_0.title from publication as publication_0 where publication_0.year > 2000
return me the homepage of the VLDB conference . ||| select conference_0.homepage from conference as conference_0 where conference_0.name = " VLDB " 
return me all the keywords . ||| select keyword_0.keyword from keyword as keyword_0
return me all the organizations . ||| select organization_0.name from organization as organization_0
return me all the organizations in " North America " . ||| select organization_0.name from organization as organization_0 where organization_0.continent = " North America " 
return me the homepage of " University of Michigan " . ||| select organization_0.homepage from organization as organization_0 where organization_0.name = " University of Michigan " 
return me the number of references of " Making database systems usable " . ||| select publication_0.reference_num from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the number of citations of " Making database systems usable " . ||| select publication_0.citation_num from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the year of " Making database systems usable " . ||| select publication_0.year from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the paper with more than 200 citations . ||| select publication_0.title from publication as publication_0 where publication_0.citation_num > 200
return me the authors who have papers in PVLDB 2010 . ||| select author_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and publication_0.year = 2010 and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the authors who have papers in PVLDB after 2010 . ||| select author_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and publication_0.year > 2010 and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the authors who have papers in VLDB conference in 2002 . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and publication_0.year = 2002 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the authors who have papers in VLDB conference before 2002 . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and publication_0.year < 2002 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the authors who have papers in VLDB conference before 2002 after 1995 . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and publication_0.year < 2002 and publication_0.year > 1995 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the authors who have papers in VLDB conference before 1995 or after 2002 . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and ( publication_0.year < 1995 or publication_0.year > 2002 ) and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the area of PVLDB . ||| select domain_0.name from domain as domain_0, domain_journal as domain_journal_0, journal as journal_0 where journal_0.name = " PVLDB " and domain_0.did = domain_journal_0.did and domain_journal_0.jid = journal_0.jid
return me the authors who have papers in PVLDB . ||| select author_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the organization " H. V. Jagadish " is in . ||| select organization_0.name from author as author_0, organization as organization_0 where author_0.name = " H. V. Jagadish " and author_0.oid = organization_0.oid
return me the conferences, which have papers by " H. V. Jagadish " . ||| select conference_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the journals, which have papers by " H. V. Jagadish " . ||| select journal_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the domain where " H. V. Jagadish " is focused . ||| select domain_0.name from author as author_0, domain as domain_0, domain_author as domain_author_0 where author_0.name = " H. V. Jagadish " and author_0.aid = domain_author_0.aid and domain_0.did = domain_author_0.did
return me the authors of " Making database systems usable " . ||| select author_0.name from author as author_0, publication as publication_0, writes as writes_0 where publication_0.title = " Making database systems usable " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the conference, which published " Making database systems usable " . ||| select conference_0.name from conference as conference_0, publication as publication_0 where publication_0.title = " Making database systems usable " and conference_0.cid = publication_0.cid
return me the references of " Making database systems usable " . ||| select publication_0.reference_num from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the citations of " Making database systems usable " . ||| select publication_0.citation_num from publication as publication_0 where publication_0.title = " Making database systems usable " 
return me the papers by " H. V. Jagadish " . ||| select publication_0.title from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the papers on VLDB conference . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid
return me the papers on PVLDB . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid
return me the papers on PVLDB after 2000 . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year > 2000 and journal_0.jid = publication_0.jid
return me the papers on VLDB conference after 2000 . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year > 2000 and conference_0.cid = publication_0.cid
return me the papers by " H. V. Jagadish " on PVLDB . ||| select publication_0.title from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " on VLDB conference . ||| select publication_0.title from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " after 2000 . ||| select publication_0.title from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and publication_0.year > 2000 and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " on PVLDB after 2000 . ||| select publication_0.title from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and publication_0.year > 2000 and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " on VLDB conference after 2000 . ||| select publication_0.title from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and conference_0.name = " VLDB " and publication_0.year > 2000 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the area of the VLDB conference . ||| select domain_0.name from conference as conference_0, domain as domain_0, domain_conference as domain_conference_0 where conference_0.name = " VLDB " and conference_0.cid = domain_conference_0.cid and domain_0.did = domain_conference_0.did
return me the authors who have papers in the VLDB conference . ||| select author_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me all the keywords in Databases area . ||| select keyword_0.keyword from domain as domain_0, domain_keyword as domain_keyword_0, keyword as keyword_0 where domain_0.name = " Databases " and domain_0.did = domain_keyword_0.did and domain_keyword_0.kid = keyword_0.kid
return me all the papers, which contain the keyword " Natural Language " . ||| select publication_0.title from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Natural Language " and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the keywords of " Making database systems usable " . ||| select keyword_0.keyword from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where publication_0.title = " Making database systems usable " and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the keywords related to " H. V. Jagadish " . ||| select keyword_0.keyword from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the keywords in VLDB conference . ||| select keyword_0.keyword from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
