Difficulty:1 ||| What year is the movie " Dead Poets Society " from ? ||| select movie_0.release_year from movie as movie_0 where movie_0.title = " Dead Poets Society " ;
Difficulty:1 ||| What year was " Ellen Page " born ? ||| select actor_0.birth_year from actor as actor_0 where actor_0.name = " Ellen Page " ;
Difficulty:1 ||| What is the nationality of the actress " Ellen Page " ? ||| select actor_0.nationality from actor as actor_0 where actor_0.name = " Ellen Page " ;
Difficulty:1 ||| Find all movies produced in 2015 ||| select movie_0.title from movie as movie_0 where movie_0.release_year = 2015 ;
Difficulty:1 ||| Find all actors born in " Los Angeles " ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Los Angeles " ;
Difficulty:1 ||| Find all actors who are from Canada ||| select actor_0.name from actor as actor_0 where actor_0.nationality = " Canada " ;
Difficulty:1 ||| Find all actors who were born in 1984 ||| select actor_0.name from actor as actor_0 where actor_0.birth_year = 1984 ;
Difficulty:1 ||| In what year was " Benedict Cumberbatch " born ||| select actor_0.birth_year from actor as actor_0 where actor_0.name = " Benedict Cumberbatch " ;
Difficulty:1 ||| What is the nationality of the actor " Christoph Waltz " ? ||| select actor_0.nationality from actor as actor_0 where actor_0.name = " Christoph Waltz " ;
Difficulty:1 ||| When was " Kevin Spacey " born ? ||| select actor_0.birth_year from actor as actor_0 where actor_0.name = " Kevin Spacey " |select director_0.birth_year from director as director_0 where director_0.name = " Kevin Spacey " |select producer_0.birth_year from producer as producer_0 where producer_0.name = " Kevin Spacey " |select writer_0.birth_year from writer as writer_0 where writer_0.name = " Kevin Spacey " ;
Difficulty:1 ||| In what year was " Kevin Spacey " born ? ||| select actor_0.birth_year from actor as actor_0 where actor_0.name = " Kevin Spacey " |select director_0.birth_year from director as director_0 where director_0.name = " Kevin Spacey " |select producer_0.birth_year from producer as producer_0 where producer_0.name = " Kevin Spacey " |select writer_0.birth_year from writer as writer_0 where writer_0.name = " Kevin Spacey " ;
Difficulty:1 ||| Where is the birth place of " Kevin Spacey " ||| select director_0.birth_city from director as director_0 where director_0.name = " Kevin Spacey " |select producer_0.birth_city from producer as producer_0 where producer_0.name = " Kevin Spacey " |select actor_0.birth_city from actor as actor_0 where actor_0.name = " Kevin Spacey " |select writer_0.birth_city from writer as writer_0 where writer_0.name = " Kevin Spacey " ;
Difficulty:1 ||| In what city was " Kevin Spacey " born ? ||| select director_0.birth_city from director as director_0 where director_0.name = " Kevin Spacey " |select producer_0.birth_city from producer as producer_0 where producer_0.name = " Kevin Spacey " |select actor_0.birth_city from actor as actor_0 where actor_0.name = " Kevin Spacey " |select writer_0.birth_city from writer as writer_0 where writer_0.name = " Kevin Spacey " ;
Difficulty:1 ||| What is the nationality of " Kevin Spacey " ? ||| select director_0.nationality from director as director_0 where director_0.name = " Kevin Spacey " |select producer_0.nationality from producer as producer_0 where producer_0.name = " Kevin Spacey " |select actor_0.nationality from actor as actor_0 where actor_0.name = " Kevin Spacey " |select writer_0.nationality from writer as writer_0 where writer_0.name = " Kevin Spacey " ;
Difficulty:1 ||| Find all actors from Italy ||| select actor_0.name from actor as actor_0 where actor_0.nationality = " Italy " ;
Difficulty:1 ||| Find all actors born in Milan ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Milan " ;
Difficulty:1 ||| How much was the budget of " Finding Nemo " ||| select movie_0.budget from movie as movie_0 where movie_0.title = " Finding Nemo " ;
Difficulty:1 ||| Which actors were born in Tehran ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Tehran " ;
Difficulty:2 ||| Find all movies directed by " Steven Spielberg " after 2006 ||| select movie_0.title from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Steven Spielberg " and movie_0.release_year > 2006 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Who is the director of the movie " Catch Me If You Can " ? ||| select director_0.name from directed_by as directed_by_0, director as director_0, movie as movie_0 where movie_0.title = " Catch Me If You Can " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Find the actor who played " Captain Miller " in the movie " Saving Private Ryan " ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where cast_0.role = " Captain Miller " and movie_0.title = " Saving Private Ryan " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| What is the genre of the movie " Jurassic Park " ? ||| select genre_0.genre from classification as classification_0, genre as genre_0, movie as movie_0 where movie_0.title = " Jurassic Park " and classification_0.gid = genre_0.gid and classification_0.msid = movie_0.mid ;
Difficulty:2 ||| Who was the director of the movie Joy from 2015 ? ||| select director_0.name from directed_by as directed_by_0, director as director_0, movie as movie_0 where movie_0.release_year = 2015 and movie_0.title = " Joy " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
