Table Name, Field Name, Is Primary Key, Is Foreign Key, Type
AUTHOR, AUTHORID, Y, -, INT(11) NOT NULL
AUTHOR, AUTHORNAME, N, Y, VARCHAR(50) DEFAULT NULL
CITE, CITINGPAPERID, Y, Y, INT(11) NOT NULL
CITE, CITEDPAPERID, N, Y, INT(11) NOT NULL
DATASET, DATASETID, Y, -, INT(11) NOT NULL
DATASET, DATASETNAME, N, Y, VARCHAR(50) DEFAULT NULL
JOURNAL, JOURNALID, Y, -, INT(11) NOT NULL
JOURNAL, JOURNALNAME, N, Y, VARCHAR(100) DEFAULT NULL
KEYPHRASE, KEYPHRASEID, Y, -, INT(11) NOT NULL
KEYPHRASE, KEYPHRASENAME, N, Y, VARCHAR(50) DEFAULT NULL
PAPER, PAPERID, Y, -, INT(11) NOT NULL
PAPER, TITLE, -, -, VARCHAR(300) DEFAULT NULL
PAPER, VENUEID, -, -, INT(11) DEFAULT NULL
PAPER, YEAR, -, -, INT(11) DEFAULT NULL
PAPER, NUMCITING, -, -, INT(11) DEFAULT NULL
PAPER, NUMCITEDBY, -, -, INT(11) DEFAULT NULL
PAPER, JOURNALID, N, Y, INT(11) DEFAULT NULL
PAPERDATASET, PAPERID, -, -, INT(11) DEFAULT NULL
PAPERDATASET, DATASETID, -, -, INT(11) DEFAULT NULL
PAPERKEYPHRASE, PAPERID, -, -, INT(11) DEFAULT NULL
PAPERKEYPHRASE, KEYPHRASEID, -, -, INT(11) DEFAULT NULL
VENUE, VENUEID, -, -, INT(11) NOT NULL
VENUE, VENUENAME, -, -, VARCHAR(100) DEFAULT NULL
WRITES, PAPERID, -, -, INT(11) DEFAULT NULL
WRITES, AUTHORID, -, -, INT(11) DEFAULT NULL
