Database name, Table Name, Field Name, Is Primary Key, Is Foreign Key, Type
perpetrator, PERPETRATOR, PERPETRATOR_ID, True, False, number
perpetrator, PERPETRATOR, PEOPLE_ID, False, False, number
perpetrator, PERPETRATOR, DATE, False, False, text
perpetrator, PERPETRATOR, YEAR, False, False, number
perpetrator, PERPETRATOR, LOCATION, False, False, text
perpetrator, PERPETRATOR, COUNTRY, False, False, text
perpetrator, PERPETRATOR, KILLED, False, False, number
perpetrator, PERPETRATOR, INJURED, False, False, number
perpetrator, PEOPLE, PEOPLE_ID, True, False, number
perpetrator, PEOPLE, NAME, False, False, text
perpetrator, PEOPLE, HEIGHT, False, False, number
perpetrator, PEOPLE, WEIGHT, False, False, number
perpetrator, PEOPLE, HOME_TOWN, False, False, text
college_2, CLASSROOM, BUILDING, True, False, text
college_2, CLASSROOM, ROOM_NUMBER, False, False, text
college_2, CLASSROOM, CAPACITY, False, False, number
college_2, DEPARTMENT, DEPARTMENT_NAME, True, False, text
college_2, DEPARTMENT, BUILDING, False, False, text
college_2, DEPARTMENT, BUDGET, False, False, number
college_2, COURSE, COURSE_ID, True, False, text
college_2, COURSE, TITLE, False, False, text
college_2, COURSE, DEPARTMENT_NAME, False, False, text
college_2, COURSE, CREDITS, False, False, number
college_2, INSTRUCTOR, ID, True, False, text
college_2, INSTRUCTOR, NAME, False, False, text
college_2, INSTRUCTOR, DEPARTMENT_NAME, False, False, text
college_2, INSTRUCTOR, SALARY, False, False, number
college_2, SECTION, COURSE_ID, True, False, text
college_2, SECTION, SECTION_ID, False, False, text
college_2, SECTION, SEMESTER, False, False, text
college_2, SECTION, YEAR, False, False, number
college_2, SECTION, BUILDING, False, False, text
college_2, SECTION, ROOM_NUMBER, False, False, text
college_2, SECTION, TIME_SLOT_ID, False, False, text
college_2, TEACHES, ID, True, False, text
college_2, TEACHES, COURSE_ID, False, False, text
college_2, TEACHES, SECTION_ID, False, False, text
college_2, TEACHES, SEMESTER, False, False, text
college_2, TEACHES, YEAR, False, False, number
college_2, STUDENT, ID, True, False, text
college_2, STUDENT, NAME, False, False, text
college_2, STUDENT, DEPARTMENT_NAME, False, False, text
college_2, STUDENT, TOTAL_CREDITS, False, False, number
college_2, TAKES_CLASSES, ID, True, False, text
college_2, TAKES_CLASSES, COURSE_ID, False, False, text
college_2, TAKES_CLASSES, SECTION_ID, False, False, text
college_2, TAKES_CLASSES, SEMESTER, False, False, text
college_2, TAKES_CLASSES, YEAR, False, False, number
college_2, TAKES_CLASSES, GRADE, False, False, text
college_2, ADVISOR, STUDENT_ID, True, False, text
college_2, ADVISOR, INSTRUCTOR_ID, False, False, text
college_2, TIME_SLOT, TIME_SLOT_ID, True, False, text
college_2, TIME_SLOT, DAY, False, False, text
college_2, TIME_SLOT, START_HOUR, False, False, number
college_2, TIME_SLOT, START_MINUTE, False, False, number
college_2, TIME_SLOT, END_HOUR, False, False, number
college_2, TIME_SLOT, END_MINUTE, False, False, number
college_2, PREREQUISITE, COURSE_ID, True, False, text
college_2, PREREQUISITE, PREREQUISITE_ID, False, False, text
flight_company, AIRPORT, ID, True, False, number
flight_company, AIRPORT, CITY, False, False, text
